X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,behavior
-4.053191461,-2.749085377,-11.34303833,2.452568081,3.746302621,-20.66053409,-1.110109763,3.207266273,2.997802986,-0.748678678,-0.539036348,-13.58463876,0.33561458,1.185879967,-11.37004556,-0.748678678,0.646843618,-12.18026258,0.593779641,0.377325444,-13.9357328,-1.72970591,0.700747253,-13.8547111,-1.135926269,2.021386307,-13.26055195,-0.80031169,2.263952663,-12.88245067,-1.471540849,1.77881995,-12.50434939,-0.33561458,1.805771767,-11.39705279,0.180715543,1.886627219,-12.45033492,0.206532049,1.67101268,-12.28829152,-1.032660245,1.697964498,-12.45033492,-0.413064098,1.697964498,-12.34230599,-0.490513616,1.77881995,-12.61237833,0.438880604,1.832723585,-12.18026258,-0.33561458,1.994434489,-12.63938556,-0.283981567,1.994434489,-12.34230599,-0.206532049,1.832723585,-11.58610343,-1.032660245,1.67101268,-12.26128429,-0.387247592,1.832723585,-10.42479237,0.33561458,1.724916315,-10.12771279,0.361431086,1.940530854,-10.23574173,-1.858788441,0.862458157,-10.12771279,0.077449518,1.105024514,-9.85764045,0.283981567,1.131976332,-11.09997322,-0.33561458,1.724916315,-10.99194428,-0.851944702,1.455398141,-11.09997322,-1.445724343,1.536253593,-12.34230599,0.077449518,1.886627219,-11.88318301,-0.645412653,2.102241759,-12.7474145,-0.33561458,2.695181742,-13.12551578,-1.548990367,1.509301776,-12.45033492,-0.593779641,2.021386307,-13.74668216,-0.490513616,1.293687236,-13.04449408,1.110109763,1.590157228,-13.58463876,-0.748678678,1.832723585,-14.61091365,-0.025816506,1.886627219,-12.45033492,A_FLIGHT
4.599145851,6.914143328,-20.80165659,1.427321126,4.714188633,0.691159008,4.621801742,-4.691740116,-10.99165777,7.068637958,-0.24693369,-18.54981596,9.356882938,1.099977348,-2.630863321,4.485866396,1.571396211,-3.923999529,7.770970575,-2.648925041,-10.96936232,12.39277232,0.673455519,-15.98583899,3.217136506,2.963204284,4.347613115,0.090623564,-0.044897035,-7.736521799,3.443695415,-2.289748765,-18.61670231,4.803048869,3.90604201,-14.17990739,3.217136506,5.028467875,2.38561335,-2.03903018,0.493867381,-5.306317545,3.262448288,-3.097895387,-20.42263391,5.84521985,2.065263592,-3.232840521,-3.081201161,-0.224485173,-1.627567987,2.605427452,-3.187689457,-10.54574873,3.353071852,-0.808146623,-9.698521564,2.628083343,-0.089794069,-8.739817133,2.605427452,-0.022448517,-6.978476435,2.582771562,-0.695904036,-7.535862732,5.437413814,-0.83059514,-10.7464078,3.126512943,-1.212219934,-10.0998397,4.463210505,0.067345552,-9.809998823,3.239792397,-0.179588138,-9.743112467,1.042170981,0.448970346,-7.580453636,-0.135935345,-0.134691104,-6.710931013,3.217136506,-0.673455519,-11.57133952,3.82884556,0.044897035,-7.134544598,4.123372142,-1.122425865,-8.918180748,1.585912362,0.044897035,-10.7018169,2.582771562,-0.808146623,-8.806703489,2.356212653,0.314279242,-9.386385237,5.233510796,0.516315898,-10.45656693,1.948406617,0.179588138,-12.75299847,2.129653744,0.089794069,-9.386385237,3.489007197,0.33672776,-10.36738512,2.582771562,-0.291830725,-9.475567045,2.310900871,0.089794069,-9.966066986,A_FLIGHT
6.434273013,4.534600495,-16.676998,8.881109229,2.963204284,2.563976965,2.310900871,-1.548947694,-11.92806675,0.883579745,-0.740801071,-11.48215771,6.842079049,0.089794069,-11.59363497,4.395242833,-1.1673229,-12.26249853,4.848360651,0.022448517,-12.03954401,4.032748578,-0.112242587,-10.67952145,4.123372142,-0.493867381,-9.029658007,4.32727516,0,-9.743112467,3.035889379,-0.606109967,-9.520157949,3.942125015,-0.224485173,-8.985067104,4.123372142,-0.718352554,-11.66052133,3.239792397,-0.448970346,-12.5077485,3.489007197,-0.044897035,-13.57793019,4.803048869,0.493867381,-12.24020308,4.07806036,0.224485173,-13.35497567,4.599145851,-0.628558484,-13.1097257,5.301478468,-0.493867381,-13.80088471,4.621801742,-0.538764415,-13.7117029,3.80618967,-0.359176277,-13.37727112,4.57648996,-0.516315898,-13.02054389,2.628083343,0.179588138,-14.51433917,2.990577598,-0.33672776,-12.41856669,3.942125015,0,-12.86447573,5.958499304,0.202036656,-11.3037941,3.353071852,0.202036656,-11.9503622,2.492147998,-0.404073311,-9.163430719,2.03903018,-0.089794069,-9.007362556,5.777252177,-0.987734761,-4.637453989,0.928891527,-0.853043657,-9.29720343,5.369446141,-2.065263592,-8.093249029,3.171824725,-0.763249588,-11.54904407,4.848360651,0.493867381,-13.17661206,3.534318979,0.628558484,-10.34508967,4.757737087,0.044897035,-12.79758937,4.100716251,-0.853043657,-12.41856669,0.634364945,-0.718352554,-15.13861182,11.59981614,0.224485173,-13.89006652,4.780392978,-0.538764415,-13.64481654,A_FLIGHT
0.113279455,-1.302014003,-10.67952145,1.767159489,2.199954695,-17.14520249,4.984295996,0.853043657,2.095772476,-0.203903018,0.853043657,-5.618453871,2.242933198,-2.514233938,-16.78847526,3.103857052,4.108078666,-18.61670231,2.605427452,5.544783773,2.229545187,-0.521085491,-3.928490528,-11.3037941,2.718706907,1.1673229,-18.01472511,7.068637958,0.808146623,0.022295452,-0.135935345,0.538764415,-7.402090021,4.621801742,-2.963204284,-18.5275205,6.61552014,4.265218287,-16.43174803,1.608568253,4.512151977,3.478090492,2.174965525,-3.748902389,-13.24349841,5.301478468,4.287666804,-19.26327042,4.304619269,1.436705107,5.774522034,0.226558909,-2.065263592,-6.644044657,3.443695415,-1.885675453,-17.97013421,3.80618967,4.48970346,-13.17661206,2.922609925,4.310115322,1.984295216,-2.80933047,-3.726453872,-11.08083958,6.751455485,4.332563839,-15.38386179,5.981155195,2.940755766,5.729931131,-1.472632908,0.359176277,-5.729931131,2.53745978,-3.187689457,-15.42845269,1.676535926,4.624394564,-18.75047502,1.540600581,4.646843081,1.582977083,0.475773709,-1.885675453,-10.56804419,2.265589089,-0.448970346,-9.988362438,2.582771562,0.314279242,-9.921476082,1.857783053,0.24693369,-9.118839815,2.446836216,-0.314279242,-8.717521681,2.03903018,-0.33672776,-9.341794334,2.764018689,0,-8.9404762,1.563256471,-0.493867381,-9.208021622,2.492147998,-0.089794069,-9.029658007,3.670254324,-2.042815074,-16.05272535,2.084341962,2.401991351,3.767931366,-1.925750726,-0.651007002,-10.54574873,A_FLIGHT
8.201432502,3.501968699,-13.84547561,2.084341962,3.65910832,1.003295334,-5.482725595,-4.063181631,-9.096544363,5.256166687,0.628558484,-16.61011164,1.835127162,-0.224485173,3.277431425,-2.80933047,2.155057661,0.601977201,3.239792397,-3.950939045,-7.089953695,3.715566106,2.222403213,-13.08743025,0.815612072,-1.189771417,2.563976965,-0.385150145,4.377460874,-0.735749912,-0.860923854,-3.501968699,-9.698521564,-3.217136506,4.579497529,-14.84877095,-3.30776007,3.32238056,4.503681278,0.045311782,0.314279242,-10.32279422,1.449977017,-0.269382208,-9.765407919,4.485866396,-0.448970346,-11.97265765,2.741362798,0.179588138,-12.39627124,1.585912362,-0.112242587,-13.667112,2.106997853,0.404073311,-14.11302103,3.398383634,0.853043657,-13.53333929,2.514803889,0.224485173,-13.86777106,5.120231341,-0.224485173,-14.60352097,2.492147998,0.33672776,-14.2690892,2.899954034,0.493867381,-13.7562938,3.30776007,0.942837727,-13.31038477,3.375727743,0.089794069,-10.90247596,3.262448288,0.269382208,-10.50115783,3.013233488,0.493867381,-10.50115783,2.174965525,0.695904036,-9.809998823,2.446836216,0.202036656,-9.698521564,2.514803889,0.493867381,-9.832294275,-0.657020836,0.381624794,-8.048658125,3.55697487,-0.853043657,-10.21131696,3.126512943,-0.224485173,-9.609339756,1.857783053,1.1673229,-9.208021622,-0.113279455,-0.359176277,-7.892589962,2.605427452,0.695904036,-7.15684005,1.132794545,-0.269382208,-7.179135502,-0.385150145,0.493867381,-5.863703842,1.631224144,-0.404073311,-6.309612879,A_FLIGHT
-1.233387815,-0.946084856,-14.63570551,-0.890780089,0.855981537,-10.98810708,-1.233387815,1.464178944,-5.09757545,-7.948499251,-0.337887449,-10.60295694,-9.935624064,2.52289295,-1.359353453,7.514529465,5.586405818,-5.59600505,-9.022003461,-0.991136516,-4.485866396,4.225495292,1.464178944,-6.910046722,-2.261210994,5.991870756,-16.58411213,4.271176322,-3.333822827,-9.67406541,-2.809383356,0.450516598,-8.518614975,-2.352573054,0.630723238,-8.858453338,-3.403236748,1.306498135,-9.719377192,-3.266193658,-0.495568258,-9.130324029,-2.215529964,-0.495568258,-10.01390377,-3.220512628,-1.937221372,-9.402194719,-2.147008419,-1.531756434,-9.334227047,-2.969266962,-3.333822827,-9.130324029,-3.151991082,-4.009597724,-9.492818283,-2.626659235,-2.995935378,-9.855312537,-2.352573054,-1.419127284,-8.881109229,-2.032805843,-1.937221372,-9.085012247,-2.352573054,-2.004798862,-9.220947592,-2.261210994,-1.666911413,-9.67406541,-2.809383356,-1.171343155,-10.64826872,-3.060629022,-0.923559026,-8.677206211,-2.992107477,-0.427990768,-9.288915265,-3.174831598,-0.427990768,-9.175635811,-3.311874688,-0.540619918,-9.379538829,-3.129150567,-0.180206639,-9.085012247,-3.174831598,-0.270309959,-9.492818283,-3.037788507,-0.247784129,-9.220947592,-2.855064386,-0.11262915,-9.356882938,-2.55813769,0,-9.583441847,-2.855064386,0.11262915,-9.447506501,-2.969266962,-0.04505166,-9.447506501,-3.083469537,0.405464938,-9.560785956,-3.220512628,0.563145748,-9.266259374,-2.992107477,0.720826557,-9.311571156,-3.129150567,0.698300727,-9.15297992,A_FLIGHT
3.330415961,0.808146623,-13.24349841,3.30776007,1.302014003,-15.49533905,5.437413814,1.436705107,-17.99242966,3.149168834,3.120343905,3.723340462,0.339838363,-1.750984349,-15.56222541,6.026466977,5.208056014,-20.64558843,0.996859199,2.469336903,4.838113056,2.53745978,-0.291830725,-11.9503622,5.686628613,2.514233938,-19.46392948,0.4984296,2.312197282,-5.194840286,3.194480616,1.257116969,-5.707635679,2.061686071,-3.142792422,-18.81736138,3.217136506,4.175424218,-15.13861182,1.087482763,3.838696458,3.09906781,-0.135935345,-3.457071664,-14.78188459,2.764018689,6.016202636,-19.79836126,2.718706907,3.501968699,7.825703606,-1.993718398,-1.122425865,-11.3037941,-0.906235636,2.042815074,-16.87765707,10.37639803,-0.269382208,0.200659067,-3.421039524,5.432541187,-4.013181337,-1.767159489,-2.648925041,-17.2789752,8.677206211,6.420275948,-15.89665718,6.570208358,3.07544687,3.81252227,-4.871016541,-1.706087315,-11.32608955,-1.132794545,-0.224485173,-19.33015677,3.579630761,0.875492175,4.124658596,-0.974203308,-0.673455519,-12.5077485,4.485866396,-0.83059514,-19.06261135,4.032748578,4.24276977,-8.650635326,0.317182473,2.963204284,-0.624272652,-1.132794545,-2.199954695,-14.64811188,3.489007197,5.926408567,-17.76947514,6.026466977,4.983570841,4.615158537,-6.11709054,-0.404073311,-14.8710664,0.158591236,3.793799424,-20.93542931,4.440554614,3.861144976,-4.793522152,3.534318979,1.346911038,-9.65393066,4.757737087,-4.108078666,-19.48622493,9.696721301,3.232586491,-9.520157949,A_FLIGHT
2.53745978,1.750984349,-18.61670231,4.146028033,0.404073311,-3.990885885,-0.634364945,2.738719111,-3.366613232,0.974203308,-1.346911038,-15.40615724,1.359353453,5.971305602,-19.01802045,0.589053163,4.579497529,4.748931248,0.974203308,-0.718352554,-9.29720343,3.149168834,1.391808073,-19.53081584,4.281963378,1.234668452,-2.184954283,0.271870691,1.616293246,-6.532567398,2.718706907,-1.795881384,-17.14520249,4.57648996,4.24276977,-15.80747538,1.087482763,4.759085668,3.076772358,0.543741381,-2.559130972,-10.43427148,3.330415961,2.626476524,-19.06261135,5.59600505,0.134691104,2.207249735,-0.951547417,1.07752883,-9.676226112,3.330415961,-2.963204284,-19.28556587,3.05854527,3.277483526,-14.64811188,1.404665235,4.534600495,0.802636267,-0.724988509,-4.175424218,-11.52674862,3.534318979,2.626476524,-19.19638406,3.126512943,1.683638798,4.726635796,-0.271870691,-0.359176277,-7.379794569,1.857783053,-2.514233938,-18.25997508,4.689769414,2.132609144,-10.30049876,0.521085491,4.108078666,-0.735749912,-1.314041672,-2.963204284,-11.348385,2.174965525,5.56723229,-18.90654319,2.28824498,3.367277595,4.05777224,-1.291385781,-0.83059514,-12.06183946,1.01951509,0.448970346,-10.32279422,1.404665235,0.493867381,-9.5424534,1.857783053,0.179588138,-9.007362556,2.220277307,-0.044897035,-9.698521564,2.152309635,0.179588138,-10.07754425,2.129653744,0.314279242,-10.45656693,2.582771562,0.493867381,-9.809998823,1.993718398,0.269382208,-9.89918063,2.106997853,0.448970346,-9.809998823,A_FLIGHT
0.413064098,1.994434489,-11.4780745,-0.593779641,1.347590871,-10.12771279,1.755522416,-0.134759087,-10.50581407,0.490513616,3.072507186,-8.858372788,-0.46469711,1.67101268,-10.15472003,2.349302057,0.646843618,-9.533553641,1.832971935,3.395928995,-5.536482993,-1.316641812,2.183097211,-10.3707779,3.485228326,4.123628065,-16.55543451,1.032660245,5.875496198,-2.835759582,5.911979902,2.102241759,-10.01968385,0.748678678,0.916361792,-9.641582577,1.72970591,2.210049028,-10.88391535,2.142770008,2.156145394,-9.965669387,1.626439886,1.751868132,-10.39778513,1.987870971,1.724916315,-10.3707779,2.633283624,2.344808116,-7.589032785,-0.981027233,0.377325444,-9.641582577,-0.129082531,1.239783601,-9.479539173,1.187559282,1.347590871,-10.66785747,-0.33561458,1.536253593,-10.4517996,0.206532049,1.347590871,-11.37004556,-0.33561458,1.56320541,-11.61311067,0.490513616,2.641278107,-11.91019024,2.142770008,2.560422655,-11.80216131,2.168586514,1.266735419,-12.45033492,-0.025816506,1.131976332,-12.55836386,0.697045665,1.078072697,-12.01821918,-0.619596147,1.455398141,-9.830633216,2.684916637,1.347590871,-11.09997322,2.478384588,0.808554523,-9.72260428,1.626439886,1.940530854,-11.99121194,-0.33561458,1.239783601,-11.69413237,-0.387247592,0.215614539,-11.58610343,-1.161742775,1.374542688,-15.31310174,2.091136996,0.431229079,-10.4517996,7.099539183,1.078072697,-12.8284362,-9.009960636,-1.401494506,-14.98901493,2.555834106,-0.808554523,-10.93792981,0.490513616,5.039989858,-2.511672772,A_FLIGHT
-8.158015934,7.169183434,-14.93500046,4.414622547,5.902448015,-17.87878898,-3.743393387,5.821592563,-21.09264984,-2.762366155,14.17665596,-16.20434047,5.240750742,13.20639054,-17.09557919,-5.808713877,8.166400678,6.022613207,-10.30078594,-2.533470838,-14.28682684,0.206532049,12.990776,-21.68680899,-3.175430253,6.549291633,5.374439588,-2.246036032,-11.05024514,-12.63938556,-0.671229159,9.055810653,-17.419666,3.665943869,8.408967035,9.587568109,-0.851944702,-5.201700762,-21.8488524,1.678072898,10.2147388,-15.42113068,-2.710733143,1.131976332,7.102902571,-2.349302057,0.161710905,-13.20653748,6.738108097,1.536253593,-15.36711621,2.504201094,5.282556214,-14.50288472,-2.349302057,5.039989858,-10.2897562,4.72442062,0.10780727,-14.23281238,1.626439886,11.7509924,-22.14593197,-2.091136996,5.552074389,4.834294906,-0.593779641,-8.220304313,-16.96054302,-0.232348555,5.794640745,-20.39046175,2.142770008,1.994434489,5.050352779,-2.504201094,-1.239783601,-16.12331876,3.381962302,3.23421809,-17.52769494,-2.452568081,3.773254439,-10.4517996,-1.936237959,4.39314624,-7.913119594,3.640127363,0.10780727,-15.61018132,0.955210726,10.40340152,-22.22695367,3.175430253,4.959134405,2.565687241,-3.020531216,-4.042772613,-14.82697153,1.936237959,6.630147085,-19.20214345,1.058476751,1.266735419,1.647441281,-1.471540849,3.988868978,-10.12771279,0.80031169,-0.916361792,-16.28536217,0.851944702,8.597629757,-16.85251408,3.820842906,3.072507186,0.675180853,-1.342458318,-1.67101268,-12.72040727,A_FLIGHT
