"","behavior","burst","odba","mean.dxy","mean.dyz","mean.dxz","sd.dxy","sd.dyz","sd.dxz","cov.dxy","cov.dxz","cov.dyz","cor.dxy","cor.dxz","cor.dyz","sk.dx","ku.dx","sk.dy","ku.dy","sk.dz","ku.dz","max.dx","min.dx","amp.dx","max.dy","min.dy","amp.dy","max.dz","min.dz","amp.dz"
"1","A_FLIGHT",1,20.0710233170633,-0.0450190826016672,0.150761935599999,0.105742852998332,12.3653277538721,12.7799760084393,13.1588061488759,-22.548161149472,-28.3761200753725,-27.4410020147317,-0.419457674362789,-0.487561465842041,-0.507675531907852,-0.791764417959069,2.11930157203932,-0.673516178273871,1.59271318940057,-0.580016972893453,1.48797878175925,9.1292649172,-18.1876327144,27.3168976316,6.6899886244,-10.8018847686,17.491873393,8.18673668325,-12.277702044,20.46443872725
"121","A_FLIGHT",2,18.1541731081692,0.0471001928912482,0.121934259606667,0.169034452497916,13.0353727231515,10.8710110838105,12.9116881033214,-23.3816160921534,-22.222958467421,-16.7167173664497,-0.398652569507963,-0.382906721802526,-0.394537851173686,-0.678863325891881,2.74306071666419,-0.683333281232227,2.74236468662461,-0.517053239574303,1.58915118158208,15.7003520224,-20.1722850596,35.872637082,9.6137971252,-17.9531143966,27.5669115218,7.9892800422,-11.0718872896,19.0611673318
"241","A_FLIGHT",3,21.2676691596304,0.0824357995933338,0.159537244628749,0.241973044222083,13.8501536645199,14.6713206334967,13.5004505221484,-28.0853693143836,-29.1545993099138,-37.1947420185167,-0.417320535733879,-0.470828740334271,-0.529948505974467,-0.645915481297283,2.08155709429104,-0.545835574264729,1.57731879584605,-0.344843936639826,1.86179400555492,10.2190231756,-17.9042358042,28.1232589798,9.8477900294,-12.8188374508,22.6666274802,15.1843620562,-14.4589521968,29.643314253
"361","A_FLIGHT",4,17.9346134642025,-0.100195129886251,0.298530800927916,0.198335671041665,14.0493754406451,11.4636475626151,12.2308660435201,-32.2928153423218,-18.8504921827591,-14.9531946412864,-0.48783378756424,-0.350938906472774,-0.301073159013019,-0.878567322856739,2.70989920422987,-0.937631473467147,2.97154166483844,-0.775887577262175,2.2685025143501,12.0238670174,-17.9657912366,29.989658254,10.6347836574,-18.4767102656,29.111493923,8.3792019592,-14.5627979006667,22.9419998598667
"481","A_FLIGHT",5,17.3481099368758,0.0539975499312495,0.123023244377916,0.177020794309166,11.9942058616696,12.0510589698231,9.43166575942735,-19.1219167594134,-9.21499657403192,-21.6533140711122,-0.379240968024802,-0.261680296219511,-0.452571419151615,-0.821773920501021,3.35223496265576,-0.657650723291046,1.64594778609916,-0.555817203303578,1.62566195422571,10.0331891796,-14.787162744,24.8203519236,9.7904434788,-13.2277411612,23.01818464,7.38703718575,-9.67652035,17.06355753575
"601","A_FLIGHT",6,13.0905856488108,-0.00400227937249966,0.103158239009584,0.0991559596370845,8.79938154034347,7.22414238051296,9.00925639810479,-12.767618219383,-11.8935996652398,-6.11103582384661,-0.522352435056216,-0.423817229695858,-0.308732489757277,-0.499258609283777,2.23263790706099,-0.668832025181472,1.6037896528984,-0.333029867774429,1.4646255107549,9.0903353096,-14.2008923554,23.291227665,4.5195994718,-6.9256320642,11.445231536,5.922150956,-6.6066388924,12.5287898484
"721","A_FLIGHT",7,21.2932545325979,-0.07077437082375,0.151788310955833,0.0810139401320826,14.7891331169722,14.7453381680279,15.150367237321,-32.731826791705,-31.4119714587491,-32.8504265423807,-0.429212477164352,-0.376862276179324,-0.434741133567374,-0.88180130840342,2.41835417535833,-0.923491545882783,2.98309853934457,-0.767964710364097,2.46140082013855,11.3713220166,-19.4566145626,30.8279365792,12.8226212634,-18.8388683942,31.6614896576,13.7337520516,-19.199161498,32.9329135496
"841","A_FLIGHT",8,18.35733271306,0.0454165977733329,0.0572565104450006,0.102673108218334,14.4606642076574,12.4047148418968,11.6631859820837,-38.4120665346212,-12.4160644247641,-21.1684971445691,-0.580741706174055,-0.227306305608368,-0.38653977346515,-1.01350183955258,2.98648275691564,-0.928504398033553,2.75186104325311,-0.833119716687266,2.44757732196717,11.2721986964,-17.7142583094,28.9864570058,9.540235258,-17.5876068078,27.1278420658,9.612129369,-17.80477863,27.416907999
"961","A_FLIGHT",9,18.9399076209333,-0.00828511140166636,0.117216906013333,0.108931794611667,11.5489477511076,12.2832967534549,11.9210925087717,-20.8669170831376,-21.1519743664818,-25.6014507160355,-0.455389480314253,-0.425230361754257,-0.515422724368074,-0.79740776979452,2.07503805762656,-0.734735651624288,1.6452860819062,-0.546385585157431,1.54119178429927,7.7805672198,-16.1477501748,23.9283173946,6.2910259428,-11.0951490692,17.386175012,10.0338181512,-12.7975145896,22.8313327408
"1081","A_FLIGHT",10,24.5431602522175,-0.107666046857916,0.318772114380416,0.2111060675225,17.5714552588834,15.7455064345726,16.5109565759138,-42.0240120304346,-29.7614740111005,-36.7001123516813,-0.379666241300221,-0.28741953873427,-0.421516910102798,-0.33428159325634,2.01009736035086,-0.63409699302101,2.33166442617713,-0.738451163396296,2.65551895320521,18.3050459126,-20.6636810778,38.9687269904,16.769482212,-21.0844195118,37.8539017238,15.0640200182,-21.6801983168,36.744218335
"1201","A_FLIGHT",11,17.0701180388113,0.0229629913820851,0.104691331069999,0.127654322452084,11.5459034288681,11.5637526095779,10.8017344712691,-19.8830162818311,-5.18756635411356,-17.1709387497578,-0.426284224035594,-0.0977476835608274,-0.348450925623756,-0.889237619283509,2.89463164368816,-0.816258358190632,2.32321037972459,-0.906230103380055,2.89502806375788,10.3900832598,-17.3426284804,27.7327117402,8.2940387744,-16.6073677812,24.9014065556,10.4284187926,-17.1730417888,27.6014605814
"1321","A_FLIGHT",12,21.0039886457267,-0.0945662688120827,0.154332971750834,0.0597667029387513,13.877362022324,15.7597785051436,13.4852733839505,-22.1019706443399,-29.5315043296166,-41.0580921031822,-0.311584370129017,-0.486190409887705,-0.499874562057589,-0.751478535223809,1.77153461703371,-0.676658829413315,2.43827065646327,-0.751820546940358,2.44601459832321,7.3416889374,-14.30332367575,21.64501261315,16.2614523642,-19.9869190316,36.2483713958,13.516219896,-17.2588527572,30.7750726532
"1441","A_FLIGHT",13,19.1779088883333,-0.0190475985400016,0.183159815337917,0.164112216797916,12.4273683536147,12.6667266461887,12.2654661359604,-22.1456301381525,-19.397946296637,-27.3749397898107,-0.402693875035304,-0.34776756164031,-0.518045451510517,-0.958243503652104,2.97213850753023,-0.694677909257783,1.63420734238231,-0.592415657849606,1.44905050269025,10.7834339048,-16.4150700868,27.1985039916,6.831269732,-12.064923835,18.896193567,7.412202975,-11.530045917,18.942248892
"1561","A_FLIGHT",14,18.7041184874892,0.0144674637949986,0.178492909127501,0.192960372922499,12.9040725197026,12.2309061589684,12.4346876251827,-26.8425725664506,-14.3353150453771,-22.9197886571974,-0.485288014856249,-0.228226637836729,-0.445379498349764,-0.849078121690813,2.84490707701092,-0.690685439668119,1.5690931707977,-0.912876504085011,2.61805175084593,12.4306934352,-18.7364421448,31.16713558,6.2669983138,-10.1566929665,16.4236912803,11.0021573354,-17.7890145954,28.7911719308
"1681","A_FLIGHT",15,18.0726218600729,-0.0890103484345832,0.200530111539584,0.111519763105001,12.8095480439379,11.3246933512963,12.4470061211266,-25.10599517007,-11.1711491832335,-16.4139741723665,-0.466493827633539,-0.17016813831021,-0.350846612674489,-0.919478908772223,2.84493540816313,-0.787908461245569,2.68575139922359,-0.814273350381758,2.53137539602118,11.9126951146,-19.492794743,31.4054898576,10.099193754,-16.9410777088,27.0402714628,9.2799762166,-17.9768273872,27.2568036038
"1801","A_FLIGHT",16,17.0594499504292,-0.0950167632916673,0.262431527347084,0.167414764055417,12.6030449754512,11.2923745800193,11.7283712803111,-29.754198588425,-15.4360336348363,-16.4845547429482,-0.603628879181176,-0.289673216114527,-0.349759745800675,-0.616869647150909,2.93538060222646,-0.844333676211398,3.346129171216,-0.585687991640652,1.54283072537644,14.5924189244,-16.6126953152,31.2051142396,11.1566505694,-16.1284071014,27.2850576708,7.5924324596,-12.1648497356667,19.7572821952667
"1921","A_FLIGHT",17,18.4222726483429,0.0949824285420821,-0.0198127098583324,0.0751697186837494,13.56549170378,13.1209136637099,13.6094634225755,-29.9470785105374,-27.6423266162729,-27.2631030355537,-0.484904500428424,-0.42601916250447,-0.464096757699033,-0.890542706840898,2.70721336959707,-1.02200467626165,3.01934297968858,-0.879564995706415,2.56876144179286,10.471447268,-17.8498905086,28.3213377766,9.583736791,-17.145938825,26.729675616,10.7279222314,-16.7726170804,27.5005393118
"2041","A_FLIGHT",18,17.6199256734567,-0.0328626073687498,0.193214709123749,0.160352101754999,13.2892578538468,11.9979278302645,11.6179830297623,-29.5509516656621,-12.4192665499791,-21.0868939491513,-0.504263011922208,-0.227854474316189,-0.415465336613974,-0.957030951046595,2.83281671809584,-1.00012999815105,3.0013179842009,-0.806820961695988,2.29983281881284,11.111699807,-19.0426614456,30.1543612526,9.6726275516,-16.885855388,26.5584829396,7.9677014698,-16.2223894556,24.1900909254
"2161","A_FLIGHT",19,21.2568837647913,-0.0824581708295856,0.0510428616495848,-0.031415309180001,16.0417315027867,12.9038246162866,16.5502304174882,-10.185394689312,-21.8739396207521,-31.1651995786371,-0.10149793486918,-0.232708106413598,-0.599585254207674,-0.224999341046358,2.82578065934265,0.167364574421474,3.53197485881318,-0.690808882678814,2.29526034559527,26.1772117548,-26.3140277952,52.49123955,20.8998708368,-16.772502732,37.6723735688,11.3055420168,-16.199556353,27.5050983698
"2281","A_FLIGHT",20,16.6861760217971,0.0688394784258328,-0.0436264786345824,0.0252129997912505,12.7365516765635,13.4721003853559,11.0863628455367,-27.4701089569597,-3.98824834899333,-32.2899471219904,-0.512209928425142,-0.0696478448913676,-0.553540554284635,-0.945557875865504,3.40818410782457,-0.761265022062921,2.88244349878709,-0.743615687098803,2.60526927643616,12.415133501,-17.6425284924,30.0576619934,12.4899654984,-15.8530626752,28.3430281736,12.6343454766,-15.9854797994,28.619825276
"2401","A_FLIGHT",21,20.2349575144917,-0.00358849884416483,-0.0388719738295855,-0.0424604726737501,13.7184338510174,12.9607927425917,13.9634636244052,-26.3075147480254,-30.9108532615601,-21.1996182468326,-0.388679449092975,-0.465592316307099,-0.337682371823943,-0.584068923306412,1.80246539206851,-0.684279710124454,2.30121078076926,-0.687777048351286,2.746506118578,10.8236741654,-14.8013501584,25.6250243238,13.3610192314,-17.9788135618,31.3398327932,12.6876802612,-18.359188644,31.0468689052
"2521","A_FLIGHT",22,19.0383738088754,-0.0138290585920828,0.187899539652917,0.174070481060834,11.5837628895417,14.3369047582659,13.8534895425374,-19.0755550358092,-22.317919118167,-29.0338518288587,-0.397273924949927,-0.323434351149723,-0.41990555295029,-0.662758600224561,2.07602278234769,-0.960886773440144,3.34849640409347,-0.817971150749292,2.56865951056895,9.4789918168,-15.071320172,24.5503119888,10.543137096,-19.0065363618,29.5496734578,14.052248988,-21.4048297366,35.4570787246
